Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,‡,-2.2,,-8.7,,-5.5,,23.5,,0,,0,,0,T,0,T,,,,M,69,
2015-01-02,2015,1,2,‡,0.1,,-8.4,,-4.2,,22.2,,0,,0,,0.2,,0.2,,,,,M,52,
2015-01-03,2015,1,3,‡,0.3,,-6.8,,-3.3,,21.3,,0,,17,,2.8,,19.8,,1,,,M,33,
2015-01-04,2015,1,4,‡,4.1,,-6.4,,-1.2,,19.2,,0,,14,,0.4,,14.4,,1,,,M,63,
2015-01-05,2015,1,5,‡,-6.4,,-13.9,,-10.2,,28.2,,0,,0,,0.4,,0.4,,0,,,M,74,
2015-01-06,2015,1,6,‡,-9.2,,-13.5,,-11.4,,29.4,,0,,0.4,,1.8,,2.2,,1,,,M,57,
2015-01-07,2015,1,7,‡,-10.4,,-20.2,,-15.3,,33.3,,0,,0,,1.8,,1.8,,5,,,M,56,
2015-01-08,2015,1,8,‡,-9.7,,-16,,-12.9,,30.9,,0,,0,,3.2,,2.8,,5,,,M,69,
2015-01-09,2015,1,9,‡,-7.7,,-15.3,,-11.5,,29.5,,0,,0,,0,T,0,T,8,,,M,63,
2015-01-10,2015,1,10,‡,-8.2,,-16.2,,-12.2,,30.2,,0,,0,,0,T,0,T,8,,,M,61,
2015-01-11,2015,1,11,‡,-1.5,,-8.3,,-4.9,,22.9,,0,,0.2,,1.2,,1,,8,,,M,52,
2015-01-12,2015,1,12,‡,-0.9,,-15.3,,-8.1,,26.1,,0,,0,,3.4,,3.4,,9,,,M,37,
2015-01-13,2015,1,13,‡,-10.8,,-19.8,,-15.3,,33.3,,0,,0,,3.2,,3,,10,,,M,37,
2015-01-14,2015,1,14,‡,-7.7,,-21.1,,-14.4,,32.4,,0,,0,,0,,0,,13,,,M,<31,
2015-01-15,2015,1,15,‡,-3.1,,-16.5,,-9.8,,27.8,,0,,0,,0.4,,0.4,,12,,,M,56,
2015-01-16,2015,1,16,‡,-2.5,,-18,,-10.3,,28.3,,0,,0,,0,T,0,T,12,,,M,48,
2015-01-17,2015,1,17,‡,4.5,,-18.5,,-7,,25,,0,,0,,0,,0,,10,,,M,52,
2015-01-18,2015,1,18,‡,,M,-6.2,E,,M,,M,,M,,M,,,,M,2,,,M,,M
2015-01-19,2015,1,19,‡,-0.4,,-9.1,,-4.8,,22.8,,0,,0,,0,T,0,T,2,,,M,41,
2015-01-20,2015,1,20,‡,-5.7,,-12.7,,-9.2,,27.2,,0,,0,,0,,0,,2,,,M,<31,
2015-01-21,2015,1,21,‡,-2.9,,-14.5,,-8.7,,26.7,,0,,0,,0,T,0,T,1,,,M,39,
2015-01-22,2015,1,22,‡,-0.7,,-5.7,,-3.2,,21.2,,0,,0,,0,T,0,T,0,,,M,32,
2015-01-23,2015,1,23,‡,-0.8,,-5.8,,-3.3,,21.3,,0,,0,,0,T,0,T,0,,,M,50,
2015-01-24,2015,1,24,‡,0,,-5.5,,-2.8,,20.8,,0,,0.2,,0.2,,0.4,,0,,,M,41,
2015-01-25,2015,1,25,‡,-2.2,,-12.5,,-7.4,,25.4,,0,,0,,0,,0,,0,,,M,35,
